Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,49,1,3,1,1-2 Year,0,25553,152,130,0
Male,78,1,41,1,1-2 Year,0,49491,26,282,0
Female,44,1,28,0,1-2 Year,1,45415,13,73,0
Female,20,1,47,0,< 1 Year,1,25380,160,171,0
Male,39,1,28,0,1-2 Year,1,57582,26,141,0
Male,54,1,28,0,1-2 Year,1,25205,26,283,1
Female,62,1,48,0,1-2 Year,1,2630,15,295,0
Male,29,1,3,1,< 1 Year,0,35463,152,165,0
Male,49,1,8,0,1-2 Year,1,2630,156,30,0
Female,20,1,50,0,< 1 Year,1,36615,160,218,0
Female,62,1,28,0,> 2 Years,1,33830,26,130,0
Male,58,1,19,1,1-2 Year,0,39661,26,141,0
Male,39,1,15,0,1-2 Year,1,37849,124,22,0
Female,59,1,30,0,1-2 Year,1,34426,26,147,0
Male,41,1,28,0,1-2 Year,1,42268,154,36,0
Male,60,1,28,0,1-2 Year,1,66338,124,73,0
Male,63,1,28,1,1-2 Year,0,61739,124,79,0
Female,50,1,41,0,1-2 Year,1,2630,26,81,1
Male,44,1,47,0,1-2 Year,1,46481,16,100,0
Female,27,1,11,0,< 1 Year,1,34587,26,63,0
Female,23,1,39,1,< 1 Year,0,40372,152,242,0
Male,50,1,28,1,1-2 Year,0,27784,26,277,0
Male,59,1,23,0,1-2 Year,0,27865,124,39,0
Female,59,1,26,1,1-2 Year,0,35649,122,136,0
Male,67,1,28,1,1-2 Year,0,31993,122,61,0
Female,27,1,33,1,< 1 Year,0,35512,152,111,0
Male,29,1,28,0,1-2 Year,1,42567,26,167,1
Male,77,1,37,1,1-2 Year,0,40651,124,183,0
Male,54,1,26,0,1-2 Year,1,35493,22,74,0
Female,28,1,28,1,< 1 Year,0,38529,152,235,0
Female,39,1,8,1,1-2 Year,0,34735,152,131,0
Female,39,1,5,0,1-2 Year,1,31760,26,141,0
Male,69,1,28,0,1-2 Year,1,29802,122,158,0
Female,21,1,17,0,< 1 Year,1,27756,160,243,0
Female,54,1,47,0,> 2 Years,1,32873,26,248,0
Male,25,1,23,0,< 1 Year,1,23537,152,58,0
Female,23,1,35,1,< 1 Year,0,27606,160,114,0
Female,20,1,36,0,< 1 Year,1,46275,160,281,1
Female,25,1,50,1,< 1 Year,0,31556,152,62,0
Female,26,1,30,1,< 1 Year,0,31791,152,189,0
Male,77,1,28,0,1-2 Year,1,36099,124,139,0
Female,28,1,41,0,1-2 Year,0,2630,156,138,0
Female,23,1,15,0,< 1 Year,1,41641,152,209,0
Female,23,1,30,0,< 1 Year,0,26689,152,254,0
Male,50,1,28,0,1-2 Year,1,46995,52,291,0
Female,62,1,28,0,> 2 Years,1,41892,155,114,0
Female,21,1,2,0,< 1 Year,1,34274,152,79,0
Female,24,1,7,1,< 1 Year,1,2630,160,68,0
Male,52,1,28,1,1-2 Year,0,36033,26,92,0
Male,24,1,3,1,< 1 Year,0,28139,152,52,0
Female,20,1,30,0,< 1 Year,1,33227,160,78,0
Female,22,1,8,1,< 1 Year,0,39816,152,156,0
Male,29,1,41,1,< 1 Year,1,43046,163,222,0
Female,44,1,28,0,1-2 Year,1,50521,26,22,1
Female,23,1,41,1,< 1 Year,0,36674,152,158,0
Male,31,1,29,0,1-2 Year,1,28867,124,247,0
Male,72,1,46,1,1-2 Year,1,28698,30,216,0
Male,45,1,35,0,1-2 Year,1,2630,124,275,0
Male,27,1,8,1,< 1 Year,0,31428,122,77,0
Female,48,1,46,0,> 2 Years,1,37379,11,139,0
Female,33,1,30,1,< 1 Year,0,24998,152,181,0
Male,50,1,30,0,1-2 Year,1,34271,26,229,1
Female,28,1,30,1,< 1 Year,0,32830,152,275,0
Female,32,1,46,0,1-2 Year,1,34810,26,166,0
Male,69,1,46,0,1-2 Year,1,2630,11,16,0
Female,32,1,27,1,< 1 Year,0,22838,151,295,0
Female,23,1,29,1,< 1 Year,0,37983,152,23,0
Female,23,1,25,0,< 1 Year,0,2630,152,149,0
Male,39,1,3,0,1-2 Year,1,37239,26,216,1
Female,39,1,28,1,1-2 Year,0,37243,124,31,0
Male,37,1,13,0,1-2 Year,1,30440,124,293,0
Male,34,1,18,0,1-2 Year,1,38232,124,156,1
Male,23,1,15,1,< 1 Year,0,25605,160,256,0
Male,49,1,28,0,1-2 Year,1,2630,124,88,0
Male,23,1,41,1,< 1 Year,0,33307,152,147,0
Female,22,1,25,0,< 1 Year,1,23955,160,22,0
Female,22,1,20,0,< 1 Year,1,2630,152,219,0
Female,27,1,41,1,< 1 Year,0,22371,152,50,0
Male,50,1,28,0,1-2 Year,1,57389,26,155,1
Female,27,1,28,1,< 1 Year,0,30005,152,92,0
Male,28,1,37,1,< 1 Year,0,32600,152,131,0
Female,25,1,49,1,< 1 Year,0,31680,152,66,0
Female,27,1,8,1,< 1 Year,0,40651,152,260,0
Female,43,1,41,0,1-2 Year,1,2630,26,19,1
Female,59,1,39,0,1-2 Year,1,32775,124,158,0
Female,23,1,36,0,< 1 Year,1,33638,160,22,0
Male,36,1,28,1,1-2 Year,0,2630,26,258,0
Male,21,1,29,1,< 1 Year,0,62164,152,116,0
Female,21,1,46,1,< 1 Year,0,27528,160,117,0
Female,47,1,41,1,1-2 Year,0,42080,124,62,0
Male,25,1,28,1,< 1 Year,0,36202,152,193,0
Female,32,1,46,0,1-2 Year,1,27320,156,204,0
Male,21,1,3,1,< 1 Year,0,40511,160,212,0
Male,23,1,28,0,< 1 Year,1,56589,152,144,0
Female,27,1,30,1,< 1 Year,0,33780,152,246,0
Male,20,1,39,1,< 1 Year,0,28329,160,78,0
Female,38,1,28,0,1-2 Year,1,34471,124,234,1
Female,22,1,11,1,< 1 Year,0,76651,152,258,0
Male,25,1,8,0,< 1 Year,1,54385,152,206,0
Male,27,1,28,0,< 1 Year,1,26732,152,282,0
Male,51,1,19,0,1-2 Year,1,2630,124,228,0
Male,53,1,28,1,1-2 Year,0,40397,122,156,0
Female,24,1,22,1,< 1 Year,0,34591,152,125,0
Female,49,1,28,0,1-2 Year,1,32771,154,29,0
Female,41,1,28,0,1-2 Year,1,54740,124,212,1
Male,41,1,35,0,1-2 Year,1,25112,154,221,0
Female,23,1,47,0,< 1 Year,1,28737,152,18,0
Female,31,1,15,1,< 1 Year,0,25908,152,84,0
Male,20,1,3,1,< 1 Year,0,41914,160,206,0
Male,70,1,25,1,1-2 Year,0,2630,124,230,0
Male,78,1,28,1,1-2 Year,0,42462,26,54,0
Female,31,1,28,1,1-2 Year,0,29395,26,123,0
Female,48,1,36,1,1-2 Year,0,2630,124,189,0
Male,25,1,30,1,< 1 Year,0,29396,152,22,0
Female,28,1,44,0,1-2 Year,1,37570,156,258,1
Female,26,1,8,0,< 1 Year,1,89282,152,101,0
Female,60,1,28,1,1-2 Year,0,30386,26,114,0
Female,28,1,8,1,< 1 Year,0,31454,152,86,0
Male,23,1,36,1,< 1 Year,0,52462,152,243,0
Male,22,1,36,1,< 1 Year,0,36352,152,13,0
Female,50,1,28,0,1-2 Year,1,36282,26,237,0
Female,33,1,36,1,< 1 Year,0,40899,152,85,0
Male,24,1,35,1,< 1 Year,0,23540,152,98,0
Female,22,1,36,1,< 1 Year,0,34527,152,67,0
Male,25,1,28,1,< 1 Year,0,101021,152,49,0
Male,60,1,45,0,1-2 Year,0,42888,124,229,0
Male,46,1,28,0,1-2 Year,1,60478,26,128,1
Female,45,1,46,0,1-2 Year,1,22689,26,95,0
Male,30,1,28,1,1-2 Year,0,40167,125,264,0
Male,52,1,0,0,1-2 Year,1,2630,124,89,0
Male,47,1,15,1,1-2 Year,0,29306,14,99,0
Male,59,1,41,1,1-2 Year,0,28821,26,29,0
Female,51,1,28,0,1-2 Year,1,57008,26,208,0
Male,52,1,0,1,1-2 Year,0,2630,26,134,0
Male,48,1,8,0,> 2 Years,1,44021,124,135,0
Male,42,1,37,0,1-2 Year,1,36532,124,268,0
Female,45,1,28,0,1-2 Year,1,25604,26,85,0
Female,27,1,11,1,1-2 Year,0,26756,124,254,0
Female,28,1,8,1,< 1 Year,0,37731,152,30,0
Female,24,1,16,1,< 1 Year,0,28190,152,284,0
Male,32,1,46,1,< 1 Year,0,23847,152,183,0
Male,21,1,47,0,< 1 Year,0,37028,160,119,0
Male,39,1,28,1,1-2 Year,0,29468,26,166,0
Male,55,1,30,1,1-2 Year,0,29215,26,226,0
Female,56,1,15,0,1-2 Year,0,29132,154,229,0
Male,42,1,3,0,1-2 Year,1,32293,124,105,1
Female,26,1,26,1,< 1 Year,0,2630,152,142,0
Female,42,1,28,0,1-2 Year,1,40613,124,242,0
Male,55,1,28,0,1-2 Year,1,49470,124,203,0
Female,41,1,28,0,1-2 Year,1,22561,124,207,1
Male,22,1,11,1,< 1 Year,0,21126,152,272,0
Male,42,1,8,0,1-2 Year,0,24224,154,66,0
Female,30,1,28,0,< 1 Year,1,39104,122,263,1
Male,21,1,30,0,< 1 Year,1,26720,160,64,0
Female,23,1,46,1,< 1 Year,0,18682,152,57,0
Female,21,1,6,0,< 1 Year,1,19196,152,40,0
Male,24,1,6,1,< 1 Year,0,18576,151,245,0
Male,26,1,37,0,< 1 Year,1,57159,160,163,0
Female,48,1,28,1,1-2 Year,0,35945,124,24,0
Male,45,1,28,0,1-2 Year,1,33205,26,243,0
Male,44,1,28,0,> 2 Years,1,42754,124,23,1
Male,42,1,45,0,1-2 Year,0,28759,25,102,0
Male,44,1,2,0,1-2 Year,0,34618,26,265,0
Female,25,1,9,0,< 1 Year,0,34280,160,202,0
Female,60,1,28,0,> 2 Years,1,65472,26,36,0
Female,21,1,46,0,< 1 Year,1,33245,152,259,0
Male,22,1,15,0,< 1 Year,1,32252,160,100,0
Male,23,1,41,1,< 1 Year,0,26285,152,91,0
Female,44,1,28,1,1-2 Year,0,2630,124,114,0
Male,40,1,20,0,1-2 Year,1,2630,26,204,0
Male,21,1,27,1,< 1 Year,0,45006,160,106,0
Female,61,1,28,0,> 2 Years,1,2630,157,190,1
Male,75,1,28,0,> 2 Years,1,40765,124,162,0
Female,53,1,28,1,1-2 Year,0,44313,61,33,0
Male,37,1,8,1,1-2 Year,0,29099,152,194,0
Male,29,1,28,1,< 1 Year,0,44742,152,85,0
Male,32,1,50,0,< 1 Year,0,2630,1,287,0
Female,64,1,28,1,1-2 Year,1,41697,26,287,0
Male,42,1,31,0,1-2 Year,1,2630,124,181,0
Male,24,1,47,0,< 1 Year,1,36414,124,292,0
Male,53,1,0,0,1-2 Year,1,2630,26,69,0
Male,62,1,15,0,1-2 Year,0,44679,86,239,0
Male,25,1,46,1,< 1 Year,0,39914,152,235,0
Male,23,1,39,0,< 1 Year,1,29575,152,281,1
Female,48,1,33,0,1-2 Year,1,44724,154,132,0
Male,28,1,15,1,< 1 Year,0,38339,152,245,0
Male,33,1,3,1,1-2 Year,0,27609,152,255,0
Female,63,1,28,0,> 2 Years,1,31004,26,281,0
Male,22,1,46,1,< 1 Year,0,30745,152,147,0
Male,27,1,3,1,< 1 Year,0,27181,152,125,0
Female,36,1,28,0,1-2 Year,1,40431,124,230,0
Male,49,1,28,0,1-2 Year,1,45558,26,49,0
Female,39,1,46,0,1-2 Year,0,35145,26,116,0
Female,21,1,11,0,< 1 Year,1,35555,152,242,1
Female,57,1,46,0,1-2 Year,1,30777,26,158,0
Female,43,1,28,0,1-2 Year,1,29578,31,203,1
Female,25,1,27,0,< 1 Year,0,2630,152,167,0
Male,41,1,11,1,1-2 Year,0,35614,26,152,0
Male,33,1,31,1,< 1 Year,0,2630,152,259,0
Male,23,1,12,1,< 1 Year,0,24886,26,111,0
Female,20,1,34,0,< 1 Year,1,33247,160,281,0
Male,36,1,28,1,1-2 Year,0,47682,124,121,0
Male,21,1,13,1,< 1 Year,0,37710,152,30,0
Female,57,1,28,0,> 2 Years,1,2630,26,71,0
Male,25,1,28,1,< 1 Year,0,43516,152,150,0
Female,24,1,46,0,< 1 Year,1,27141,152,246,0
Male,67,1,28,1,1-2 Year,0,31011,122,63,0
Male,24,1,13,1,< 1 Year,0,44603,152,207,0
Male,54,1,28,0,1-2 Year,1,34367,124,237,1
Female,22,1,12,1,< 1 Year,0,29823,152,128,0
Male,45,1,30,1,1-2 Year,0,2630,26,121,0
Male,22,1,36,1,< 1 Year,0,2630,152,60,0
Male,24,1,28,0,< 1 Year,1,21583,152,143,0
Female,22,1,11,1,< 1 Year,0,32234,152,117,0
Male,48,1,28,0,1-2 Year,1,42028,26,77,0
Female,28,1,21,1,< 1 Year,0,26106,152,95,0
Female,27,1,50,0,< 1 Year,1,2630,160,83,0
Male,49,1,46,1,1-2 Year,0,2630,30,198,0
Male,62,1,8,0,1-2 Year,1,47272,26,194,0
Male,45,1,28,0,1-2 Year,1,42704,26,116,0
Female,60,1,6,0,1-2 Year,1,2630,157,143,0
Female,20,1,17,0,1-2 Year,0,2630,156,181,0
Female,38,1,10,0,1-2 Year,1,37039,124,103,0
Female,52,1,31,0,1-2 Year,1,2630,26,127,0
Female,36,1,15,0,1-2 Year,1,2630,26,69,1
Male,55,1,28,0,> 2 Years,1,41246,26,285,0
Female,20,1,35,0,< 1 Year,1,34281,160,214,0
Male,25,1,28,1,< 1 Year,0,47031,26,151,0
Male,25,1,39,0,< 1 Year,0,2630,152,217,0
Female,54,1,41,0,1-2 Year,1,53581,124,199,1
Female,21,1,14,1,< 1 Year,0,36712,152,56,0
Male,40,1,48,0,> 2 Years,1,2630,26,86,0
Male,36,1,28,0,1-2 Year,1,34165,124,143,0
Male,42,1,15,0,1-2 Year,1,28883,26,66,0
Male,24,1,10,1,< 1 Year,0,35443,152,45,0
Male,39,1,28,0,1-2 Year,1,32807,157,186,0
Male,26,1,10,0,< 1 Year,1,24115,152,69,0
Male,64,1,8,0,1-2 Year,1,2630,124,293,0
Female,25,1,47,1,< 1 Year,0,2630,160,299,0
Female,22,1,13,1,< 1 Year,0,37093,152,66,0
Female,43,1,3,0,1-2 Year,1,31020,26,59,1
Female,28,1,6,1,< 1 Year,0,18683,152,215,0
Male,22,1,13,1,< 1 Year,0,33413,152,104,0
Female,26,1,16,0,< 1 Year,1,32232,152,238,0
Female,22,1,46,0,< 1 Year,1,31180,152,120,0
Male,60,1,8,0,1-2 Year,1,2630,124,21,0
Female,49,1,31,0,1-2 Year,1,2630,124,32,1
Male,22,1,21,1,< 1 Year,0,30893,152,29,0
Male,21,1,29,1,< 1 Year,0,43798,152,258,0
Male,67,1,28,0,1-2 Year,1,32653,124,171,0
Female,35,1,28,0,1-2 Year,1,41662,150,223,0
Female,24,1,33,1,< 1 Year,0,20513,152,270,0
Male,24,1,11,1,< 1 Year,0,27771,152,233,0
Male,24,1,15,1,< 1 Year,0,23267,152,143,0
Female,28,1,41,1,< 1 Year,0,37948,152,211,0
Female,24,1,30,1,< 1 Year,0,24414,152,149,0
Male,71,1,28,0,1-2 Year,1,42881,124,105,0
Male,26,1,35,1,< 1 Year,0,51047,152,165,0
Female,45,1,28,0,> 2 Years,1,73929,157,86,0
Female,59,1,39,0,1-2 Year,1,44630,124,200,0
Female,26,1,28,1,< 1 Year,0,44082,152,197,0
Female,24,1,46,1,< 1 Year,0,21006,152,11,0
Male,42,1,8,0,1-2 Year,1,35600,124,213,0
Male,20,1,12,0,< 1 Year,1,82705,160,49,0
Male,54,1,6,1,1-2 Year,0,24515,124,93,0
Male,48,1,8,1,1-2 Year,0,41483,124,113,0
Male,59,1,41,0,1-2 Year,1,2630,156,88,0
Male,43,1,5,1,1-2 Year,1,2630,124,178,0
Female,40,1,29,0,1-2 Year,1,2630,157,77,0
Male,77,1,50,1,1-2 Year,0,42327,124,10,0
Female,22,1,28,0,< 1 Year,1,48276,152,290,0
Female,35,1,28,0,1-2 Year,1,41029,125,94,0
Male,24,1,8,1,< 1 Year,0,35981,152,231,0
Female,24,1,33,1,< 1 Year,0,32219,152,45,0
Female,26,1,47,1,< 1 Year,0,2630,152,296,0
Male,26,1,30,1,< 1 Year,0,2630,152,270,0
Male,39,1,28,0,1-2 Year,1,38036,157,10,0
Female,52,1,45,0,1-2 Year,1,23918,26,265,0
Male,20,1,28,1,< 1 Year,0,31367,160,255,0
Male,69,1,28,0,1-2 Year,1,30727,122,47,0
Female,28,1,46,1,< 1 Year,0,41526,160,122,0
Male,44,1,28,0,1-2 Year,1,30427,124,237,1
Female,22,1,8,1,< 1 Year,0,48773,152,217,0
Male,20,1,29,1,1-2 Year,0,2630,157,271,0
Male,21,1,8,1,< 1 Year,0,27076,160,278,0
Male,23,1,18,1,< 1 Year,0,35970,26,16,0
Male,36,1,8,0,1-2 Year,1,30941,26,249,0
Female,69,1,28,0,1-2 Year,1,32400,26,189,1
Male,27,1,15,0,< 1 Year,1,33845,152,260,0
Male,47,1,41,1,1-2 Year,0,36809,26,226,0
Female,49,1,28,0,1-2 Year,1,48505,124,271,0
Male,25,1,25,1,< 1 Year,0,32856,152,275,0
Female,21,1,29,1,< 1 Year,0,29166,152,278,0
Male,42,1,38,0,1-2 Year,1,34193,156,116,1
Male,22,1,37,0,< 1 Year,1,38240,152,221,1
Female,42,1,28,0,1-2 Year,1,39977,124,276,0
Female,31,1,28,0,1-2 Year,1,39423,124,190,0
Female,60,1,36,1,1-2 Year,1,36638,124,33,0
Male,46,1,29,0,1-2 Year,1,28946,124,64,0
Female,23,1,46,1,< 1 Year,0,2630,152,88,0
Female,22,1,30,1,< 1 Year,0,18202,152,107,0
Male,20,1,8,1,< 1 Year,0,38076,160,79,0
Male,57,1,28,0,1-2 Year,1,19618,122,96,1
Female,29,1,28,1,< 1 Year,0,27715,152,93,0
Male,22,1,46,1,< 1 Year,1,28311,152,240,0
Female,22,1,36,0,< 1 Year,1,2630,152,211,0
Male,43,1,28,0,1-2 Year,1,39495,124,172,1
Male,54,1,15,0,1-2 Year,1,35116,124,171,1
Male,44,1,28,0,1-2 Year,1,39450,124,214,0
Female,23,1,8,1,< 1 Year,0,42644,152,257,0
Female,50,1,28,0,1-2 Year,1,68147,30,218,0
Male,50,1,28,1,1-2 Year,0,42024,122,224,0
Female,44,1,41,0,1-2 Year,1,30875,124,173,0
Male,22,1,46,1,< 1 Year,0,25037,152,220,0
Male,31,1,24,0,1-2 Year,1,2630,156,257,0
Female,20,1,12,0,< 1 Year,1,2630,160,203,0
Male,52,1,30,1,< 1 Year,0,2630,1,152,0
Male,58,1,28,1,1-2 Year,0,44522,23,94,0
Male,59,1,49,0,1-2 Year,1,39971,124,143,0
Female,25,1,8,1,< 1 Year,0,42307,152,213,0
Male,45,1,28,0,> 2 Years,1,49145,122,222,1
Male,44,1,46,1,1-2 Year,0,50696,26,193,0
Female,38,1,29,0,1-2 Year,1,47639,122,169,0
Male,38,1,28,0,1-2 Year,1,65212,124,32,0
Male,23,1,27,1,< 1 Year,0,26287,160,199,0
Female,78,1,46,1,1-2 Year,0,31616,11,185,0
Male,20,1,35,1,< 1 Year,0,2630,160,81,0
Male,25,1,11,0,< 1 Year,0,38081,152,132,0
Male,47,1,28,1,1-2 Year,0,31269,124,213,0
Male,66,1,31,0,> 2 Years,1,2630,26,90,0
Female,55,1,28,0,> 2 Years,1,49146,26,190,1
Female,24,1,8,0,< 1 Year,1,54408,152,86,0
Male,26,1,8,1,< 1 Year,0,54203,152,81,0
Female,22,1,28,1,< 1 Year,0,38452,26,51,0
Female,34,1,28,0,1-2 Year,0,46685,124,205,0
Male,66,1,28,0,1-2 Year,0,42644,122,80,0
Female,44,1,28,0,1-2 Year,1,45485,122,245,0
Male,21,1,13,0,< 1 Year,1,28733,152,70,0
Male,20,1,46,0,< 1 Year,1,49211,160,284,0
Male,22,1,50,1,< 1 Year,0,36287,152,70,0
Female,25,1,37,0,< 1 Year,1,2630,152,249,0
Female,49,1,29,0,1-2 Year,0,2630,156,265,0
Male,50,1,31,0,1-2 Year,1,2630,124,237,0
Male,75,1,8,1,1-2 Year,0,2630,26,11,0
Male,31,1,28,0,< 1 Year,1,32883,26,132,0
Male,21,1,28,0,< 1 Year,0,2630,152,186,0
Female,47,1,15,0,1-2 Year,1,2630,14,166,0
Male,59,1,28,0,1-2 Year,1,44233,124,160,1
Male,23,1,47,0,< 1 Year,1,25080,152,277,1
Male,65,1,28,0,1-2 Year,1,90789,26,186,1
Female,27,1,33,0,< 1 Year,1,2630,152,125,0
Male,49,1,28,0,1-2 Year,1,37214,26,158,1
Male,51,1,28,0,1-2 Year,1,37690,26,34,0
Female,66,1,47,0,1-2 Year,1,34757,26,92,0
Male,45,1,28,0,1-2 Year,0,42620,124,245,0
Female,45,1,35,1,1-2 Year,0,2630,26,200,0
Female,68,1,30,1,1-2 Year,0,2630,160,218,0
Male,47,1,28,0,> 2 Years,1,33145,124,237,0
Male,28,1,6,0,1-2 Year,1,31181,124,282,0
Female,25,1,40,0,< 1 Year,1,39361,152,104,0
Female,51,1,28,0,> 2 Years,1,33632,124,137,0
Female,24,1,6,1,< 1 Year,0,29371,152,168,0
Female,25,1,43,1,< 1 Year,0,27080,160,177,0
Female,24,1,43,0,< 1 Year,1,29981,152,185,0
Male,41,1,21,0,1-2 Year,1,29440,157,87,1
Male,29,1,46,0,< 1 Year,1,2630,152,118,0
Female,22,1,46,1,< 1 Year,0,31506,160,113,0
Female,38,1,38,1,1-2 Year,0,37379,124,158,0
Female,26,1,8,1,< 1 Year,0,22650,152,181,0
Male,23,1,6,1,< 1 Year,0,24308,152,256,0
Female,36,1,46,0,< 1 Year,1,2630,1,94,0
Female,37,1,28,0,1-2 Year,1,20267,152,88,0
Female,21,1,8,1,< 1 Year,1,46704,152,99,0
Female,24,1,13,0,< 1 Year,1,2630,151,19,0
Male,22,1,46,1,< 1 Year,0,23810,152,220,0
Male,54,1,28,1,1-2 Year,0,34431,124,288,0
Female,21,1,34,0,1-2 Year,1,36314,163,86,1
Female,44,1,28,0,1-2 Year,1,119735,152,295,0
Male,48,1,8,0,1-2 Year,1,42100,124,247,1
Male,42,1,11,0,1-2 Year,1,40473,124,46,0
Female,45,1,28,0,1-2 Year,1,27616,26,134,0
Male,25,1,16,1,< 1 Year,0,2630,152,178,0
Male,76,1,15,1,1-2 Year,0,39952,14,126,0
Male,64,1,28,0,1-2 Year,1,42417,60,116,0
Male,29,1,8,0,< 1 Year,1,42992,124,241,0
Female,28,1,14,1,< 1 Year,0,27555,152,258,0
Female,24,1,46,1,< 1 Year,0,25784,152,128,0
Female,49,1,8,0,1-2 Year,1,38022,124,197,0
Male,53,1,39,0,1-2 Year,1,2630,157,83,0
Female,67,1,29,0,1-2 Year,1,43753,124,30,1
Male,54,1,33,0,1-2 Year,1,39396,124,295,0
Female,25,1,23,1,< 1 Year,0,2630,152,228,0
Female,21,1,30,1,< 1 Year,0,24030,152,82,0
Female,39,1,28,0,1-2 Year,1,33016,124,74,0
Male,54,1,35,0,1-2 Year,1,26629,26,113,1
Female,24,1,32,0,< 1 Year,1,2630,152,107,0
Female,23,1,2,1,< 1 Year,0,24881,152,247,0
Male,33,1,15,1,< 1 Year,0,2630,152,190,0
Female,23,1,37,0,< 1 Year,1,21214,152,126,1
Female,23,1,21,0,< 1 Year,1,24388,152,270,0
Male,47,1,46,1,1-2 Year,0,2630,21,270,0
Male,63,1,28,0,1-2 Year,1,44879,124,85,0
Female,27,1,10,0,< 1 Year,1,24453,152,152,0
Male,49,1,8,0,1-2 Year,1,41648,124,98,0
Male,29,1,28,0,< 1 Year,1,40186,160,227,0
Male,46,1,33,0,1-2 Year,1,30866,124,77,0
Male,33,1,11,1,< 1 Year,0,35263,152,271,0
Male,40,1,8,1,1-2 Year,0,31839,152,165,0
Female,30,1,49,0,< 1 Year,1,27967,152,270,0
Male,52,1,28,0,1-2 Year,1,46090,124,217,1
Male,23,1,35,1,< 1 Year,0,27968,152,128,0
Male,70,1,28,0,> 2 Years,1,51565,122,115,0
Male,24,1,2,0,< 1 Year,1,26707,152,224,0
Male,42,1,33,0,> 2 Years,1,35187,124,107,0
Male,70,1,8,0,1-2 Year,1,46177,26,249,0
Female,22,1,46,0,< 1 Year,1,26118,152,46,0
Male,70,1,7,1,1-2 Year,0,65479,124,213,0
Female,23,1,28,1,< 1 Year,0,38010,152,177,0
Female,74,1,28,0,> 2 Years,1,30128,26,164,1
Female,22,1,43,0,1-2 Year,1,42589,157,236,0
Female,66,1,28,0,1-2 Year,1,30967,26,64,0
Female,24,1,8,0,< 1 Year,1,42636,152,155,0
Male,40,1,28,0,1-2 Year,1,37142,124,286,0
Male,59,1,8,1,1-2 Year,0,34424,26,134,0
Female,23,1,27,0,< 1 Year,1,27827,151,19,0
